date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:50	1131/1131	---M--	200	added ('OK')	image/svg+xml	etag:W/%221131-1516858084000%22	http://dtcpass.delhi.gov.in/images/photoswipe-controls.svg	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/photoswipe-controls.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:52	169/169	---M--	200	added ('OK')	text/html	etag:W/%22169-1516858084000%22	http://dtcpass.delhi.gov.in/images/preloader.html	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/preloader.html	(from http://dtcpass.delhi.gov.in/css/style.css)
12:16:56	2186/2186	---M--	200	added ('OK')	image/gif	etag:W/%222186-1516858082000%22	http://dtcpass.delhi.gov.in/images/ajax-loader.gif	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/ajax-loader.gif	(from http://dtcpass.delhi.gov.in/css/style.css)
12:17:02	739291/739291	---M--	200	added ('OK')	application/javascript	etag:W/%22739291-1537678160000%22	http://dtcpass.delhi.gov.in/js/core.min.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/js/core.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502082230664)
12:17:04	20967/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:29%20GMT	http://dtcpass.delhi.gov.in/apply	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/apply.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:18	109157/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:27%20GMT	http://dtcpass.delhi.gov.in/login.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/login.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:24	208468/208468	---M--	200	added ('OK')	font/ttf	etag:W/%22208468-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e6.ttf?v=1.4.57	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/fonts/materialdesignicons-webfont14e614e6.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
12:17:28	106746/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:37%20GMT	http://dtcpass.delhi.gov.in/mobilesahayaklogin.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/mobilesahayaklogin.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:41	106741/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:52%20GMT	http://dtcpass.delhi.gov.in/labourLogin.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/labourLogin.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:46	217017/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:36%20GMT	http://dtcpass.delhi.gov.in/faqs.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/faqs.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:48	114138/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:45:58%20GMT	http://dtcpass.delhi.gov.in/pricecalculator	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/pricecalculator.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:52	111588/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:46:02%20GMT	http://dtcpass.delhi.gov.in/getEPass.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/getEPass.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:17:54	755/755	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Dec%202022%2006:46:26%20GMT	http://dtcpass.delhi.gov.in/POST	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/POST.30.delayed	(from http://dtcpass.delhi.gov.in/login.jsp)
12:17:58	3885/3885	---M--	200	added ('OK')	image/png	etag:W/%223885-1513677758000%22	http://dtcpass.delhi.gov.in/images/refresh.png	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/images/refresh.png	(from http://dtcpass.delhi.gov.in/login.jsp)
12:18:00	626/626	---M--	200	added ('OK')	application/javascript	etag:W/%22626-1530507916000%22	http://dtcpass.delhi.gov.in/js/validation.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/js/validation.js	(from http://dtcpass.delhi.gov.in/apply)
12:18:03	70238/70238	---M--	200	added ('OK')	application/pdf	etag:W/%2270238-1602572552000%22	http://dtcpass.delhi.gov.in/pdf/DTC%20Bus%20Pass%20Form.pdf	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/pdf/DTC%20Bus%20Pass%20Form.pdf	(from http://dtcpass.delhi.gov.in/home.jsp)
12:18:03	107447/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:46:15%20GMT	http://dtcpass.delhi.gov.in/status.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/status.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:18:06	33599/33599	---M--	200	added ('OK')	text/css	etag:W/%2233599-1528020782000%22	http://dtcpass.delhi.gov.in/calender/bootstrap-datepicker3.css	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/calender/bootstrap-datepicker3.css	(from http://dtcpass.delhi.gov.in/apply)
12:18:09	29343/29343	---M--	200	added ('OK')	application/javascript	etag:W/%2229343-1528020712000%22	http://dtcpass.delhi.gov.in/calender/bootstrap-datepicker.min.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/calender/bootstrap-datepicker.min.js	(from http://dtcpass.delhi.gov.in/apply)
12:18:10	110769/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:46:21%20GMT	http://dtcpass.delhi.gov.in/contacts.jsp	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/contacts.html	(from http://dtcpass.delhi.gov.in/home.jsp)
12:18:16	95962/95962	---M--	200	added ('OK')	application/javascript	etag:W/%2295962-1528020946000%22	http://dtcpass.delhi.gov.in/calender/jquery-1.11.3.min.js	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/calender/jquery-1.11.3.min.js	(from http://dtcpass.delhi.gov.in/apply)
12:18:20	107453/-1	---M--	200	added ('OK')	text/html	date:Fri,%2030%20Dec%202022%2006:46:40%20GMT	http://dtcpass.delhi.gov.in/	/home/c0dysharma/websites/dtc-buspass/dtcpass.delhi.gov.in/index.html	(from http://dtcpass.delhi.gov.in/faqs.jsp)
